OTUID,seccion,sexo,poblacion,ID.identificador,Embrion
26FP3I,Ileon,Hembra,2600 msnm,3,3
26FP7I,Ileon,Hembra,2600 msnm,7,7
26FP16I,Ileon,Hembra,2600 msnm,16,16
26FP8I,Ileon,Hembra,2600 msnm,8,8
26FP12I,Ileon,Hembra,2600 msnm,12,12
26FP3B,Boca,Hembra,2600 msnm,3,3
26FP3C,Cloaca,Hembra,2600 msnm,3,3
26FP7B,Boca,Hembra,2600 msnm,7,7
26FP7C,Cloaca,Hembra,2600 msnm,7,7
26FP16B,Boca,Hembra,2600 msnm,16,16
26FP16C,Cloaca,Hembra,2600 msnm,16,16
26FP8B,Boca,Hembra,2600 msnm,8,8
26FP8C,Cloaca,Hembra,2600 msnm,8,8
26FP12B,Boca,Hembra,2600 msnm,12,12
26FP12C,Cloaca,Hembra,2600 msnm,12,12
26FP3E4.LA,L.amniotico,Embrion,2600 msnm,3,3.4
26FP3E9.7.LA,L.amniotico,Embrion,2600 msnm,3,3.9
26FP16E1.2.LA,L.amniotico,Embrion,2600 msnm,16,16.1
26FP8E1.2.LA,L.amniotico,Embrion,2600 msnm,8,8.1
26FP12E1.3.LA,L.amniotico,Embrion,2600 msnm,12,12.1
26FP16E1.2.ME,Membrana,Embrion,2600 msnm,16,16.1
26FP8E1.ME,Membrana,Embrion,2600 msnm,8,8.1
26FP12E1.3.ME,Membrana,Embrion,2600 msnm,12,12.1
26FP16E1.YE,Yema,Embrion,2600 msnm,16,16.1
26FP8E1.YE,Yema,Embrion,2600 msnm,8,8.1
26FP12E1.3.YE,Yema,Embrion,2600 msnm,12,12.1
26FP3E2.TE,Tracto.embrionario,Embrion,2600 msnm,3,3.2
26FP3E3.TE,Tracto.embrionario,Embrion,2600 msnm,3,3.3
26FP3E4.TE,Tracto.embrionario,Embrion,2600 msnm,3,3.4
26FP7E1.TE,Tracto.embrionario,Embrion,2600 msnm,7,7.1
26FP7E2.TE,Tracto.embrionario,Embrion,2600 msnm,7,7.2
26FP7E3.TE,Tracto.embrionario,Embrion,2600 msnm,7,7.3
26FP16E1.TE,Tracto.embrionario,Embrion,2600 msnm,16,16.1
26FP8E1.TE,Tracto.embrionario,Embrion,2600 msnm,8,8.1
26FP8E2.TE,Tracto.embrionario,Embrion,2600 msnm,8,8.2
26FP12E1.TE,Tracto.embrionario,Embrion,2600 msnm,12,12.1
26FP12E2.TE,Tracto.embrionario,Embrion,2600 msnm,12,12.2